ID,Name,Concepticon_ID,Concepticon_Gloss,GBIF_ID,GBIF_NAME,canonicalName,rank,kingdom,kingdomKey,phylum,phylumKey,class_,classKey,order,orderKey,family,familyKey,genus,genusKey
boerhaviacoccinea,Boerhavia coccinea,,,3086287,Boerhavia coccinea Mill.,Boerhavia coccinea,SPECIES,Plantae,6,Tracheophyta,7707728,Magnoliopsida,220,Caryophyllales,422,Nyctaginaceae,6718,Boerhavia,3086275
boerhaviadiffusa,Boerhavia diffusa,,,3086282,Boerhavia diffusa L.,Boerhavia diffusa,SPECIES,Plantae,6,Tracheophyta,7707728,Magnoliopsida,220,Caryophyllales,422,Nyctaginaceae,6718,Boerhavia,3086275
boerhaviarepens,Boerhavia repens,,,3086288,Boerhavia repens L.,Boerhavia repens,SPECIES,Plantae,6,Tracheophyta,7707728,Magnoliopsida,220,Caryophyllales,422,Nyctaginaceae,6718,Boerhavia,3086275
bolboschoenusmaritimus,Bolboschoenus maritimus,,,2718307,Bolboschoenus maritimus (L.) Palla,Bolboschoenus maritimus,SPECIES,Plantae,6,Tracheophyta,7707728,Liliopsida,196,Poales,1369,Cyperaceae,7708,Bolboschoenus,2718273
bombaxcostatum,Bombax costatum,,,4073451,Bombax costatum Pellegr. & Vuillet,Bombax costatum,SPECIES,Plantae,6,Tracheophyta,7707728,Magnoliopsida,220,Malvales,941,Malvaceae,6685,Bombax,2874861
borassusaethiopum,Borassus aethiopum,,,2733925,Borassus aethiopum Mart.,Borassus aethiopum,SPECIES,Plantae,6,Tracheophyta,7707728,Liliopsida,196,Arecales,552,Arecaceae,7681,Borassus,2733922
bosciaangustifolia,Boscia angustifolia,,,5602553,Boscia angustifolia A.Rich.,Boscia angustifolia,SPECIES,Plantae,6,Tracheophyta,7707728,Magnoliopsida,220,Brassicales,7225535,Capparaceae,3111,Boscia,8226638
bosciasalicifolia,Boscia salicifolia,,,5602398,Boscia salicifolia Oliv.,Boscia salicifolia,SPECIES,Plantae,6,Tracheophyta,7707728,Magnoliopsida,220,Brassicales,7225535,Capparaceae,3111,Boscia,8226638
bosciasenegalensis,Boscia senegalensis,,,5377842,Boscia senegalensis Lam.,Boscia senegalensis,SPECIES,Plantae,6,Tracheophyta,7707728,Magnoliopsida,220,Brassicales,7225535,Capparaceae,3111,Boscia,8226638
bostaurusprimigenius,Bos taurus primigenius,,,4262590,"Bos taurus primigenius Bojanus, 1827",Bos taurus primigenius,SUBSPECIES,Animalia,1,Chordata,44,Mammalia,359,Artiodactyla,731,Bovidae,9614,Bos,2441017
brachiaria,Brachiaria,,,2704067,Brachiaria (Trin.) Griseb.,Brachiaria,GENUS,Plantae,6,Tracheophyta,7707728,Liliopsida,196,Poales,1369,Poaceae,3073,Brachiaria,2704067
brachiarialata,Brachiaria lata,,,4132963,Brachiaria lata (Schumach.) C.E.Hubb.,Brachiaria lata,SPECIES,Plantae,6,Tracheophyta,7707728,Liliopsida,196,Poales,1369,Poaceae,3073,Brachiaria,2704067
brachiariavillosa,Brachiaria villosa,,,4131711,Brachiaria villosa (Lam.) A.Camus,Brachiaria villosa,SPECIES,Plantae,6,Tracheophyta,7707728,Liliopsida,196,Poales,1369,Poaceae,3073,Brachiaria,2704067
brachiariaxantholeuca,Brachiaria xantholeuca,,,4131647,Brachiaria xantholeuca Stapf,Brachiaria xantholeuca,SPECIES,Plantae,6,Tracheophyta,7707728,Liliopsida,196,Poales,1369,Poaceae,3073,Brachiaria,2704067
