ID,Local_ID,Language_ID,Parameter_ID,Value,Form,Segments,Comment,Source,Cognacy,Loan,Graphemes,Profile
ampari-ficusplatyphylla-1,,ampari,ficusplatyphylla,kómbé,kómbé,,,,,,,
ampari-ficussycomorus-1,,ampari,ficussycomorus,káwⁿ,káwⁿ,,,,,,,
ampari-flueggeavirosavirosa-1,,ampari,flueggeavirosavirosa,sànjá-sàgù,sànjá-sàgù,,,,,,,
ampari-forficulasenegalensis-1,,ampari,forficulasenegalensis,sɛ̌yⁿ kɛ̀wɛ̀,sɛ̌yⁿ kɛ̀wɛ̀,,,,,,,
ampari-francolinusbicalcaratus-1,,ampari,francolinusbicalcaratus,ígó,ígó,,,,,,,
ampari-galeodesolivieri-1,,ampari,galeodesolivieri,árà,árà,,,,,,,
ampari-galeodesolivieri-2,,ampari,galeodesolivieri,árà-bójèrè,árà-bójèrè,,,,,,,
ampari-galerellasanguinea-1,,ampari,galerellasanguinea,bùndí,bùndí,,,,,,,
ampari-gardeniaerubescens-1,,ampari,gardeniaerubescens,bèdà-kòdó yɔ̀,bèdà-kòdó yɔ̀,,,,,,,
ampari-gardeniasokotensis-1,,ampari,gardeniasokotensis,kɔ̀dɔ̀gɔ̀ mírá,kɔ̀dɔ̀gɔ̀ mírá,,,,,,,
ampari-gardeniaternifolia-1,,ampari,gardeniaternifolia,bèdá-kòdò,bèdá-kòdò,,,,,,,
ampari-gazelladama-1,,ampari,gazelladama,gɛ́dí,gɛ́dí,,,,,,,
ampari-genettagenetta-1,,ampari,genettagenetta,síyɛ̀,síyɛ̀,,,,,,,
ampari-genettathierryi-1,,ampari,genettathierryi,síyɛ̀,síyɛ̀,,,,,,,
ampari-geochelonesulcata-1,,ampari,geochelonesulcata,gû:ⁿ,gû:ⁿ,,,,,,,
ampari-giraffacamelopardalis-1,,ampari,giraffacamelopardalis,sémbêw,sémbêw,,,,,,,
ampari-gloriosasuperba-1,,ampari,gloriosasuperba,súgúrú ká:nú,súgúrú ká:nú,,,,,,,
ampari-gongylophismuelleri-1,,ampari,gongylophismuelleri,nɔ̀:ŋgɔ́ tɛ́mɔ̀,nɔ̀:ŋgɔ́ tɛ́mɔ̀,,,,,,,
ampari-gossypiumanomalum-1,,ampari,gossypiumanomalum,àmpàrí kùrá:ndè,àmpàrí kùrá:ndè,,,,,,,
ampari-gossypiumhirsutum-1,,ampari,gossypiumhirsutum,kùrá:ndè,kùrá:ndè,,,,,,,
ampari-gossypiumhirsutum-2,,ampari,gossypiumhirsutum,àndásàrà kùrá:ndè,àndásàrà kùrá:ndè,,,,,,,
ampari-grewiabicolor-1,,ampari,grewiabicolor,òwá dìnì,òwá dìnì,,,,,,,
ampari-grewiatenaxforskfiori-1,,ampari,grewiatenaxforskfiori,òwá pù,òwá pù,,,,,,,
ampari-guierasenegalensis-1,,ampari,guierasenegalensis,túrú,túrú,,,,,,,
ampari-gynandropsisgynandra-1,,ampari,gynandropsisgynandra,dá:mà-gínjì,dá:mà-gínjì,,,,,,,
ampari-gypsafricanus-1,,ampari,gypsafricanus,těẃ kómbò,těẃ kómbò,,,,,,,
